model,fold,train_rows,test_rows,train_date_min,train_date_max,test_date_min,test_date_max,model_rmse,model_mae,model_r2,baseline_rmse,baseline_mae,baseline_r2
decision_tree,1,44,40,2023-01-23,2023-08-23,2023-08-24,2024-03-20,212.40857091745988,149.2718697438641,-0.4863277334875713,180.39162225111352,147.92993181818184,-0.07202085877216136
decision_tree,2,84,58,2023-01-23,2024-03-20,2024-03-21,2024-10-26,175.001958573432,113.34690020782253,-0.5172465311086993,159.75248190417125,133.4518226600985,-0.2643449053226765
decision_tree,3,142,64,2023-01-23,2024-10-26,2024-10-27,2025-06-28,93.97017332755344,65.64390662741624,-0.3190746972185725,126.65636655639055,116.06367297535215,-1.396312118425508
decision_tree,4,206,64,2023-01-23,2025-06-28,2025-06-30,2025-10-30,178.7382180004618,118.19080077999465,-0.3463574984807709,154.38305101178892,111.99833737864077,-0.0044418167801201225
random_forest,1,44,40,2023-01-23,2023-08-23,2023-08-24,2024-03-20,166.46419593482122,117.99436901576333,0.08712317457542684,180.39162225111352,147.92993181818184,-0.07202085877216136
random_forest,2,84,58,2023-01-23,2024-03-20,2024-03-21,2024-10-26,137.58609876692012,80.91629105006612,0.06218009186731899,159.75248190417125,133.4518226600985,-0.2643449053226765
random_forest,3,142,64,2023-01-23,2024-10-26,2024-10-27,2025-06-28,81.25988236470481,57.988408125307984,0.013625781180521157,126.65636655639055,116.06367297535215,-1.396312118425508
random_forest,4,206,64,2023-01-23,2025-06-28,2025-06-30,2025-10-30,166.85779206301376,99.912088601217,-0.17332555845580333,154.38305101178892,111.99833737864077,-0.0044418167801201225
extra_trees,1,44,40,2023-01-23,2023-08-23,2023-08-24,2024-03-20,161.0739043658798,111.7854984267473,0.145285878823029,180.39162225111352,147.92993181818184,-0.07202085877216136
extra_trees,2,84,58,2023-01-23,2024-03-20,2024-03-21,2024-10-26,118.38614957862147,79.33061453048376,0.3056600942189249,159.75248190417125,133.4518226600985,-0.2643449053226765
extra_trees,3,142,64,2023-01-23,2024-10-26,2024-10-27,2025-06-28,91.39923814673634,61.90244741304018,-0.2478847727448421,126.65636655639055,116.06367297535215,-1.396312118425508
extra_trees,4,206,64,2023-01-23,2025-06-28,2025-06-30,2025-10-30,169.39807735764157,99.03994539165033,-0.20932352043233404,154.38305101178892,111.99833737864077,-0.0044418167801201225
gradient_boosting,1,44,40,2023-01-23,2023-08-23,2023-08-24,2024-03-20,160.4847619366047,120.13822426121351,0.1515268334798877,180.39162225111352,147.92993181818184,-0.07202085877216136
gradient_boosting,2,84,58,2023-01-23,2024-03-20,2024-03-21,2024-10-26,129.76219247556423,82.57495628909304,0.16580672491012405,159.75248190417125,133.4518226600985,-0.2643449053226765
gradient_boosting,3,142,64,2023-01-23,2024-10-26,2024-10-27,2025-06-28,84.49068253757018,59.85164290614814,-0.0663676726609701,126.65636655639055,116.06367297535215,-1.396312118425508
gradient_boosting,4,206,64,2023-01-23,2025-06-28,2025-06-30,2025-10-30,169.2435090672449,100.21694413108958,-0.20711761830561515,154.38305101178892,111.99833737864077,-0.0044418167801201225
xgboost,1,44,40,2023-01-23,2023-08-23,2023-08-24,2024-03-20,164.2357208872321,121.87542458915709,0.11140114447630745,180.39162225111352,147.92993181818184,-0.07202085877216136
xgboost,2,84,58,2023-01-23,2024-03-20,2024-03-21,2024-10-26,138.02528508488098,87.08335650542688,0.05618333710757517,159.75248190417125,133.4518226600985,-0.2643449053226765
xgboost,3,142,64,2023-01-23,2024-10-26,2024-10-27,2025-06-28,83.14668634737127,59.26410199463368,-0.032712005245495224,126.65636655639055,116.06367297535215,-1.396312118425508
xgboost,4,206,64,2023-01-23,2025-06-28,2025-06-30,2025-10-30,169.59156293374514,99.71148242488505,-0.21208766381402766,154.38305101178892,111.99833737864077,-0.0044418167801201225
