feature,importance
num__rolling_hot_hrs,0.15477615043499582
cat__profile_name_IWF 250X125,0.10422486686110122
num__production_pcs,0.10057211164933211
num__kv_20,0.07961110393342566
num__availables_hrs,0.06716077507963514
num__rolling_hrs,0.05509260633172991
num__kv_33,0.05435459932227905
num__electricity_total_kwh,0.053504609151869
num__gas_total_day_nm3,0.04873001883383007
num__mechanic_stop_min,0.0400925190183376
num__production_ton,0.03917998838887063
num__material_pcs,0.03662402557974308
num__downtime_total_min,0.031109492365596556
num__raw_material_ton,0.028286987914224227
num__others_stop_min,0.023294864343575212
num__production_stop_min,0.021653881823040233
num__idle_hrs,0.020303883031282242
cat__profile_name_HB 150x150,0.016913954703063755
num__electric_stop_min,0.011648997213520135
cat__profile_name_IWF 250x125,0.00731835105023436
cat__profile_name_IWF 150x75,0.0022071819243413703
cat__profile_name_IWF 200x100,0.0011122232380202696
cat__profile_name_WF 150x75,0.00069502321692886
cat__profile_name_IWF 300x150,0.0005254324604818823
cat__profile_name_IWF 200X100,0.0005019661942435569
cat__profile_name_UNP 150x75,0.00045202090919274396
cat__profile_name_WF 250x125,2.892299018888811e-05
cat__profile_name_IWF 198x99,2.276006076114206e-05
cat__profile_name_L 150x150x15,6.819761551646356e-07
num__roll_shop_stop_min,0.0
cat__profile_name_HB 100x100,0.0
cat__profile_name_HB 150X150,0.0
cat__profile_name_IWF 248x124,0.0
cat__profile_name_IWF 194x150,0.0
cat__profile_name_IWF 198X99,0.0
cat__profile_name_HB 175x175,0.0
cat__profile_name_HB 125x125,0.0
cat__profile_name_L 130x130x12,0.0
cat__profile_name_L 130x130x10,0.0
cat__profile_name_IWF 298x149,0.0
cat__profile_name_UB 203x102x23,0.0
cat__profile_name_UB 150x75,0.0
cat__profile_name_L 150x150x12,0.0
cat__profile_name_UB 248x124,0.0
cat__profile_name_UNP 200x80,0.0
cat__profile_name_UNP 100x50,0.0
cat__profile_name_UNP 250x90,0.0
cat__profile_name_WF 200x100,0.0
