model,fold,train_rows,test_rows,train_date_min,train_date_max,test_date_min,test_date_max,model_rmse,model_mae,model_r2,baseline_rmse,baseline_mae,baseline_r2
decision_tree,1,44,40,2023-01-23,2023-08-23,2023-08-24,2024-03-20,219.92311660267583,150.7452601010101,-0.5933539824366667,180.39162225111352,147.92993181818184,-0.07202085877216136
decision_tree,2,84,58,2023-01-23,2024-03-20,2024-03-21,2024-10-26,186.12296854062438,142.11536982795604,-0.716209398847371,159.75248190417125,133.4518226600985,-0.2643449053226765
decision_tree,3,142,64,2023-01-23,2024-10-26,2024-10-27,2025-06-28,136.57676420537027,96.47391099028715,-1.7863968606963874,126.65636655639055,116.06367297535215,-1.396312118425508
decision_tree,4,206,64,2023-01-23,2025-06-28,2025-06-30,2025-10-30,195.4370095870279,131.81804219524346,-0.6096785749694622,154.38305101178892,111.99833737864077,-0.0044418167801201225
random_forest,1,44,40,2023-01-23,2023-08-23,2023-08-24,2024-03-20,175.25688900384898,143.281235520435,-0.011860642468005667,180.39162225111352,147.92993181818184,-0.07202085877216136
random_forest,2,84,58,2023-01-23,2024-03-20,2024-03-21,2024-10-26,139.4391031311773,108.91132541507218,0.03674893849583927,159.75248190417125,133.4518226600985,-0.2643449053226765
random_forest,3,142,64,2023-01-23,2024-10-26,2024-10-27,2025-06-28,111.49370425754806,79.97219435956418,-0.8569064433133187,126.65636655639055,116.06367297535215,-1.396312118425508
random_forest,4,206,64,2023-01-23,2025-06-28,2025-06-30,2025-10-30,156.66257313092328,102.8637372317113,-0.034322701541922074,154.38305101178892,111.99833737864077,-0.0044418167801201225
extra_trees,1,44,40,2023-01-23,2023-08-23,2023-08-24,2024-03-20,189.27309617649456,159.30007204536145,-0.18018008086483261,180.39162225111352,147.92993181818184,-0.07202085877216136
extra_trees,2,84,58,2023-01-23,2024-03-20,2024-03-21,2024-10-26,190.37609034719299,141.8223778880913,-0.7955402384247112,159.75248190417125,133.4518226600985,-0.2643449053226765
extra_trees,3,142,64,2023-01-23,2024-10-26,2024-10-27,2025-06-28,117.11350805751806,77.9395030626871,-1.0488176849675033,126.65636655639055,116.06367297535215,-1.396312118425508
extra_trees,4,206,64,2023-01-23,2025-06-28,2025-06-30,2025-10-30,151.06678732191642,96.65143452541186,0.038247037734097655,154.38305101178892,111.99833737864077,-0.0044418167801201225
gradient_boosting,1,44,40,2023-01-23,2023-08-23,2023-08-24,2024-03-20,207.52800525667035,146.7437591325388,-0.41880898708117864,180.39162225111352,147.92993181818184,-0.07202085877216136
gradient_boosting,2,84,58,2023-01-23,2024-03-20,2024-03-21,2024-10-26,143.28089439209373,115.88700142530084,-0.01706076852750993,159.75248190417125,133.4518226600985,-0.2643449053226765
gradient_boosting,3,142,64,2023-01-23,2024-10-26,2024-10-27,2025-06-28,107.75599587138997,78.37606367704693,-0.7344916913699495,126.65636655639055,116.06367297535215,-1.396312118425508
gradient_boosting,4,206,64,2023-01-23,2025-06-28,2025-06-30,2025-10-30,156.54691311489623,97.46413727193436,-0.03279603671028064,154.38305101178892,111.99833737864077,-0.0044418167801201225
xgboost,1,44,40,2023-01-23,2023-08-23,2023-08-24,2024-03-20,179.01346601899274,142.3718952960968,-0.05570337527874347,180.39162225111352,147.92993181818184,-0.07202085877216136
xgboost,2,84,58,2023-01-23,2024-03-20,2024-03-21,2024-10-26,140.45468644565943,113.18834590517241,0.022666458141385792,159.75248190417125,133.4518226600985,-0.2643449053226765
xgboost,3,142,64,2023-01-23,2024-10-26,2024-10-27,2025-06-28,111.44959547874731,81.0134700897336,-0.855437487295788,126.65636655639055,116.06367297535215,-1.396312118425508
xgboost,4,206,64,2023-01-23,2025-06-28,2025-06-30,2025-10-30,158.64793523698924,98.5085935217142,-0.060704458743649825,154.38305101178892,111.99833737864077,-0.0044418167801201225
